title,url,descriptions
Mohammad Aftab Alam,https://en.wikipedia.org/wiki/Mohammed_Aftab_Aalam,"Mohammad Aftab Alam (:  ) is a Nepali politician from the  and a suspended member of the  of the . He was a member of the first constituent assembly as well. He is also a former .
Alam was elected from Rautahat-2 to the  in the  and the  but was defeated in the  from the same constituency.
Alam was elected to parliament in the  from -2 constituency as a candidate from . He defeated his nearest rival Kiran Kumar Shah by acquiring 18833 votes to Shah's 16865. Following his election to parliament he was appointed a member of the House Industry Commerce Labour and Consumer Interest Committee.
Alam was arrested from Rajapur municipality-1 Rautahat on 13 October 2019 on charges of murder and causing explosion for his alleged involvement in the 9 April 2008 bomb blast in Rautahat and the subsequent murders of the injured. According to a report by  it has been alleged that Alam had employed several people tasked with making bombs to be used for capturing booths in the 2008 constituent assembly elections. When a bomb went off in a massive explosion that injured as many as 18 people Alam allegedly dumped them at a brick kiln killing them.  however reported that 14 people died in the blast while those and an additional eight injured were dumped in the furnace of the brick kiln murdering the injured and destroying evidence. According to  at least two had died in the initial explosion and as many as two dozen injured were dumped alive into the brick furnace.
He was suspended from his position in the House of Representatives following his arrest.
A single bench of Judge Deepak Dhakal Rautahat District Court denied him bail on 15 November 2019 after a preliminary hearing where Alam was allowed to make a statement. Lawyers of Alam had argued that there was no such bomb explosion in Rautahat in 2008 that Alam was completely innocent and was being framed by the government with a fake list of victims."
Lekh Raj Bhatta,https://en.wikipedia.org/wiki/Lekh_Raj_Bhatta,"Lekh Raj Bhatta (: ) is a  politician belonging to the . Bhatta is the former member of Constituent Assembly. Bhatta is the secretary of .
He also served as Minister for Labour and Transport in  and  in  .In the  he was elected from the -5 constituency winning 17979 votes. Again he served as  from . He was the former  elected from .  
He was born on March 24 1960. His father name was Dasharath Bhatt and Mother Name is Durga Devi Bhatta.
Bhatta joined politics in 1973  and took the membership of Nepal Communist Party (Fourth Convention) led by Mohan Bikram Singh in 1976. He later joined CPN (Masaal) and CPN (Unity Center) to finally become a full-time member of CPN-Maoist in 1995. He went on to become central member in 2001 and politburo member. He was jailed for six months during the armed conflict launched by CPN-Maoist.
In the CA Election 2008 Bhatta was elected from Kailali-5 with 17979 votes. His closest opponent Dirgha Raj Bhatta (NC) received 13638 votes while Hari Shankar Yogi (CPN-UML) got 7597 votes to come in third position.
Bhatta was appointed as Labor Minister in the government led by Pushpa Kamal Dahal 'Prachanda'. He looked after the Ministry for Commerce and Supplies in the government led by Dr. Baburam Bhattarai.
Now He is the standing committee member of"
Nara Bahadur Bista,https://en.wikipedia.org/wiki/Nara_Bahadur_Bista,Nara Bahadur Bista (: ) is a  politician belonging to the . In the  he was elected from the -3 constituency winning 17429 votes.
Ram Bahadur Bista,https://en.wikipedia.org/wiki/Ram_Bahadur_Bista,Ram Bahadur Bista (: ) is a  politician. He was elected to the  in the  on behalf of the . Bista was the Nepali Congress candidate in the Achham-2 constituency for the .
Tekendra Prasad Bhatt,https://en.wikipedia.org/wiki/Tekendra_Prasad_Bhatt,Tekendra Prasad Bhatt (: ) is a  politician belonging to the . In the  he was elected from the -3 constituency winning 15076 votes.
Khadga Bahadur Bishwakarma,https://en.wikipedia.org/wiki/Khadga_Bahadur_Bishwakarma,"Khadga Bahadur Bishwakarma (: ) alias Prakanda (प्रकाण्ड) born 17 May 1968 (२०२५ जेष्ठ ४ शुक्रवार) is a Nepalese communist politician belonging to  Communist Party of Nepal led by Netra Bikram Chand “Biplav”. He is a member of the standing committee and spokesperson of Communist Party of Nepal.
In the  he was elected from  constituency winning 27629 votes. He was subsequently appointed as Minister of Tourism and civil aviation in the Cabinet headed by Mr. . Before that in 2007 he was appointed  as Minister of Women Children and Social Welfare in the cabinet headed by late .
Vishwakarma was born in ward no 4 of Malkot VDC of Kalikot district in a low-middle class peasant family. He played vital role in western part of Nepal in 10-years-long (1996-2006 AD) guerrilla war (Peoples war) led by Communist Party of Nepal (Maoist) against the feudal monarchy political system. Which subsequently overthrown the 240 years long feudal monarchy and established republican system in Nepal."
Narayan Man Bijukchhe,https://en.wikipedia.org/wiki/Narayan_Man_Bijukchhe,"Narayan Man Bijukchhe (:  party name ''; born March 9 1939) is a  politician. Bijukchhe is the  of the .
Bijukchhe was born in Sukuldhoka Nepal. He became a  sympathizer after seeing the relief work of  cadres during floods in  around 1954. Around 1956 he joined the Students Federation and became a Communist Party member the following year. Bijukchhe became a prominent figure in the agrarian struggles in the   and Rautahat districts. In 1961 he became the president of the Students Union at  College.
In the early 1970s Bijukchhe became a  member of 's . He was put in charge of the Bagmati Narayani and Janakpur zone. He went against the leadership of Pushpa Lal Shrestha.  narayan man Bijukchhe criticized the decision of Pushpa Lal and the party to support the Indian intervention in  the policy of seeking cooperation with  and the failure of the party to condemn the  as imperialist.
In 1975 he founded the Nepal Workers and Peasants Organisation (which later became the Nepal Workers and Peasants Party). The influence of the group remained largely confined to Bhaktapur but in that area it became successful in mobilizing tenants and gaining influence inside  institutions.
During the 1990s Bijukchhe was elected to parliament three times in 1991 1994 and 1999. In 2006 Bijukchhe was one of the signatories of the historic agreement between the  and the . In the  Bijukchhe won the Bhaktapur-1 seat with 19972 votes thus having won a seat in all national elections since the 1990 . Bijukchhe has emerged as a strong critic of the proposal to divide Nepal into ethnic and linguistic states arguing that such a federalist concept might produce violent conflicts.
On June 12 2010 Bijukchhe withdrew his support to the coalition government led by .
He was a member of the . He won the Bhaktapur–1 seat in the  as a candidate of the Nepal Workers and Peasants Party. In 2017 November he said he had decided not to contest in the  as he wanted to give chance to the new generation of leaders.
Bijukche has visited  four times on the invitation of the latter's government. Portraits of  and  are hanged in his office alongside these of    and . Bhaktapur residents have questioned the relevance of North Korean ideology () imported to Nepal - Juche is part of the ideology of ."
Gokarna Bista,https://en.wikipedia.org/wiki/Gokarna_Bista,"Gokarna Bista (: ) is a Nepalese politician and was Secretary of . He served as  under the prime minister  and is former  under KP Oli led cabinet. He was elected in the  from  constituency number 3. In April 2011 during his tenure as  he was stabbed by two motorcyclists. He became popular for revolutionary changes in power sector of Nepal.
A central member of Gokarna Raj Bista was born on July 1 1965 in Dohali-3 . Son of Bhim Bahadur and Chinta Kala Bista he commenced his political career in 1978.
Succeeded to take out his name in Public Service Commission in 1983 he quit the government job immediately as disputes erupted with Kaji Man Kandnawa Anchaladish(zone chief) on the very first day of his job. Then onwards he joined politics and took membership of the party in 1986.
Bista served as a  chairman and a  chairman of ANNFSU students’ wing of CPN-UML. He took assignment as a Chief to different departments such as Organization committee of Central Committee Education Department Creative Department Publicity and Promotion Department.
After involving with students’ politics he joined the working committee of then Democratic National Youth Association DNYA (Now Youth Association of Nepal) in 1993. He became the chairman of DNYA for two terms starting from 2000 after being General Secretary in 1996.
Bista who served as an in-charge to different departments like Local Department Students’ Department and Youth Department is currently serving as an in-charge to Intellectual Council of CPN-UML.
A parliamentarian of 1996 parliament elected from Gulmi-3 Bista was appointed as a  during  led government. In 2008 CA election he was defeated by then CPN-Maoist's candidate from same constituency Gulmi-3.
A locally popular leader Bista became quite popular for his attempts to implement the revolutionary changes in country's power sector including power cuts. He holds master's degree in Management Faculty and bachelor's degree in law.
He was born on 1 July 1965 at  to Bhim Bahadur Bista and Chinta Kala Bista."
Dev Raj Bhar,https://en.wikipedia.org/wiki/Dev_Raj_Bhar,Dev Raj Bhar (: ) is a member of . He won Banke–1 seat in CA assembly 2013 from .
Pampha Bhusal,https://en.wikipedia.org/wiki/Pampha_Bhusal,"Pampha Bhusal (: ) is a Nepali politician. She has served as an elected member of parliament and the  as well as a minister several times. She was the second woman to lead a political party in Nepal after ; she was the leader of the  (Samyukta Janamorcha) . On 13 July 2021 she became Minister for Energy Water Resources and Irrigation in the newly formed cabinet under Prime Minister .
Bhusal was born  in  a remote village in .
She entered student politics in 1977 when she was studying in the eighth grade and four years later in 1981 she took active membership of the Communist Party of Nepal."
